City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
275,Mafinga,TZ,2021-07-12 18:23:24,-7.25,35.0667,72.09,42,4,10.54
276,Bichura,RU,2021-07-12 18:23:25,50.5881,107.6022,57.61,95,58,3.42
277,Cap Malheureux,MU,2021-07-12 18:23:25,-19.9842,57.6142,72.09,71,15,10.0
278,Kisangani,CD,2021-07-12 18:23:25,0.5167,25.2,76.5,59,82,1.34
279,Paamiut,GL,2021-07-12 18:23:26,61.994,-49.6678,40.98,91,100,11.01
280,Adrar,MR,2021-07-12 18:23:26,20.5022,-10.0711,101.39,20,66,8.32
281,Xichang,CN,2021-07-12 18:23:27,27.8964,102.2634,66.79,95,99,1.83
282,Kavieng,PG,2021-07-12 18:23:27,-2.5744,150.7967,82.15,78,47,15.95
283,Geraldton,AU,2021-07-12 18:23:27,-28.7667,114.6,66.61,72,75,20.71
284,Gualeguay,AR,2021-07-12 18:23:28,-33.1416,-59.3097,70.59,63,99,7.02
285,Qui Nhon,VN,2021-07-12 18:23:28,13.7667,109.2333,79.29,86,21,3.49
286,Najran,SA,2021-07-12 18:23:28,17.4924,44.1277,95.65,13,94,6.22
287,Trincomalee,LK,2021-07-12 18:23:29,8.5711,81.2335,81.12,79,88,20.13
288,Hami,CN,2021-07-12 18:23:29,42.8,93.45,82.53,27,83,15.26
289,Romitan,UZ,2021-07-12 18:23:30,39.9343,64.3814,85.95,28,0,6.91
290,Bonfim,BR,2021-07-12 18:23:30,3.0833,-59.95,79.68,79,99,1.99
291,Faanui,PF,2021-07-12 18:23:31,-16.4833,-151.75,80.02,73,23,22.41
292,Henties Bay,NA,2021-07-12 18:23:31,-22.116,14.2845,58.86,79,1,13.33
293,Kilindoni,TZ,2021-07-12 18:23:31,-7.9139,39.6668,77.18,76,71,15.99
